Platform,Congress,MemberICPSR,MemberName,MemberParty,MemberChamber,MemberState,MemberDistrict,n_messages,n_scored,mean_partisan_score,mean_partisan_extremity,p_Advertising,p_PositionTaking,p_CreditClaiming,p_NegativePartisan,p_Bipartisan,p_ConstituentService,p_CreditConstituent,p_CreditPolicy,mean_likes,mean_shares,mean_replies,mean_quotes,n_newsletters
Twitter,114,29572,"Thornberry, Mac",Republican,House,TX,13,201,194,0.2077,0.6038,0.204,0.393,0.0199,0.0746,0.0,0.0796,0.0,0.0149,1.6716,1.5672,0.8607,0.0398,
Twitter,114,29573,"Jackson Lee, Sheila",Democrat,House,TX,18,1455,1406,-0.3802,0.6901,0.099,0.5065,0.0474,0.1601,0.011,0.0474,0.0041,0.0419,11.2137,9.0997,2.8742,0.3732,
Twitter,114,29587,"Cummings, Elijah",Democrat,House,MD,7,1688,1546,-0.2622,0.6311,0.231,0.3069,0.0273,0.0563,0.0059,0.0735,0.0077,0.0213,10.5664,8.8241,2.6037,0.3158,
Twitter,114,29588,"Blumenauer, Earl",Democrat,House,OR,3,1014,980,-0.3571,0.6785,0.0897,0.4329,0.069,0.0858,0.003,0.0769,0.001,0.0631,17.1213,9.1607,1.8008,0.43,
Twitter,114,29701,"Aderholt, Robert",Republican,House,AL,4,237,223,0.0819,0.5409,0.1899,0.2869,0.0295,0.1013,0.0084,0.1435,0.0,0.0338,8.2869,4.4937,1.7932,0.1519,
Twitter,114,29707,"Sherman, Brad",Democrat,House,CA,30,298,297,-0.0827,0.5413,0.4664,0.5738,0.0268,0.1074,0.0034,0.0973,0.0,0.0168,13.0067,9.8221,5.3356,1.7483,
Twitter,114,29709,"Sanchez, Loretta",Democrat,House,CA,47,1285,1245,-0.4418,0.7209,0.1619,0.407,0.0514,0.0428,0.0078,0.0506,0.0054,0.0366,5.807,4.0934,1.0568,0.0926,
Twitter,114,29710,"DeGette, Diana",Democrat,House,CO,1,1332,1298,-0.5271,0.7636,0.0796,0.4977,0.0556,0.0863,0.0293,0.0571,0.0045,0.0465,9.8018,6.7568,1.6772,0.3063,
Twitter,114,29717,"Davis, Danny",Democrat,House,IL,7,233,223,-0.3631,0.6815,0.2232,0.4249,0.0429,0.0987,0.0215,0.1459,0.0043,0.0386,4.0901,3.2275,0.8927,0.2232,
Twitter,114,29718,"Shimkus, John",Republican,House,IL,15,1408,1366,0.0978,0.5489,0.1016,0.2045,0.0348,0.0455,0.0099,0.0895,0.0014,0.0249,3.8643,2.5291,1.2848,0.1896,
Twitter,114,29722,"MORAN, Jerry",Republican,House,KS,1,1175,1136,-0.0642,0.4679,0.1898,0.3447,0.0826,0.063,0.0043,0.1455,0.0085,0.0715,5.2647,2.7004,1.0774,0.1421,
Twitter,114,29729,"McGovern, James",Democrat,House,MA,3,2229,2201,-0.5785,0.7892,0.1871,0.3917,0.0345,0.0695,0.0242,0.1696,0.0112,0.0233,17.3786,11.4594,1.3576,0.568,
Twitter,114,29732,"STABENOW, Deborah Ann",Democrat,Senate,MI,S,1189,1156,-0.4167,0.7084,0.1236,0.3078,0.0353,0.1329,0.0067,0.0992,0.0151,0.0235,21.3818,10.8621,3.2212,0.4558,
Twitter,114,29735,"BLUNT, Roy",Republican,House,MO,7,3072,3036,-0.2856,0.3572,0.2253,0.3324,0.109,0.0791,0.0179,0.3226,0.0146,0.0869,4.1432,3.8366,2.4688,0.2155,
Twitter,114,29741,"Pascrell, Bill",Democrat,House,NJ,8,429,422,-0.4074,0.7037,0.1632,0.4499,0.1189,0.0653,0.0256,0.1096,0.021,0.1002,8.0559,5.9441,1.4172,0.5082,
Twitter,114,29754,"THUNE, John",Republican,Senate,SD,S,1522,1493,-0.0429,0.4785,0.2668,0.2825,0.067,0.0729,0.0217,0.2891,0.0046,0.0565,20.2484,9.0867,6.1754,2.0138,
Twitter,114,29759,"Sessions, Pete",Republican,House,TX,32,1298,1290,0.2042,0.6021,0.4522,0.332,0.104,0.0824,0.0023,0.1911,0.0008,0.0878,3.218,2.2512,1.6949,0.0894,
Twitter,114,29760,"Brady, Kevin",Other,House,TX,8,1707,1671,0.0921,0.5461,0.1394,0.4716,0.0668,0.1336,0.0053,0.1213,0.0023,0.0557,2.8752,2.3515,1.2642,0.2062,
Twitter,114,29762,"Granger, Kay",Republican,House,TX,12,134,130,0.0579,0.5289,0.2239,0.1791,0.0224,0.0149,0.0149,0.194,0.0,0.0149,2.8955,2.6493,1.0672,0.0522,
Twitter,114,29763,"Hinojosa, Ruben",Democrat,House,TX,15,705,684,-0.268,0.634,0.1333,0.1773,0.0312,0.017,0.0156,0.2227,0.0142,0.027,1.2511,1.0936,0.227,0.027,
Twitter,114,29768,"Smith, Adam",Democrat,House,WA,9,381,371,-0.4033,0.7016,0.1627,0.4908,0.0787,0.0709,0.0052,0.1155,0.0,0.0735,11.1522,6.2047,2.0026,0.3675,
Twitter,114,29769,"Kind, Ron",Democrat,House,WI,3,257,257,-0.3637,0.6819,0.0817,0.393,0.1284,0.035,0.0117,0.1673,0.0039,0.1284,3.5953,2.5175,1.0195,0.0778,
Twitter,114,29774,"Capps, Lois",Democrat,House,CA,23,737,732,-0.481,0.7405,0.1384,0.4437,0.118,0.0204,0.019,0.0977,0.0068,0.1113,7.5156,5.3148,1.0719,0.1886,
Twitter,114,29776,"Meeks, Gregory",Democrat,House,NY,6,861,850,-0.3269,0.6634,0.2567,0.3775,0.0383,0.1057,0.007,0.079,0.0058,0.0279,8.1533,6.4146,1.3182,0.367,
Twitter,114,29778,"Lee, Barbara",Democrat,House,CA,9,3245,3212,-0.528,0.764,0.0786,0.5596,0.0496,0.0909,0.0065,0.0888,0.0083,0.0388,47.7544,31.7165,3.4533,1.5202,
Twitter,114,29901,"Thompson, Mike",Democrat,House,CA,1,1333,1321,-0.4915,0.7457,0.2258,0.2453,0.0645,0.0833,0.012,0.3451,0.015,0.0495,5.8905,4.1748,0.7592,0.2048,
Twitter,114,29903,"Napolitano, Grace",Democrat,House,CA,38,373,368,-0.5784,0.7892,0.1153,0.3914,0.0402,0.0804,0.008,0.1421,0.0027,0.0375,5.3029,3.7989,0.5523,0.1421,
Twitter,114,29908,"Larson, John",Democrat,House,CT,1,901,891,-0.5727,0.7863,0.1698,0.4539,0.0633,0.0633,0.0133,0.1276,0.0067,0.0455,22.889,12.1998,1.8224,0.7569,
Twitter,114,29909,"ISAKSON, Johnny",Republican,Senate,GA,S,2431,2391,-0.095,0.4525,0.3003,0.318,0.0917,0.0613,0.0095,0.225,0.0012,0.0839,7.0234,3.508,1.717,0.1687,
Twitter,114,29910,"Simpson, Michael",Republican,House,ID,2,149,141,-0.0822,0.4589,0.2215,0.2282,0.0738,0.0268,0.0201,0.1745,0.0,0.0537,2.651,2.3154,0.906,0.047,
Twitter,114,29911,"Schakowsky, Janice",Democrat,House,IL,9,1585,1497,-0.4623,0.7311,0.1647,0.5987,0.036,0.1571,0.005,0.0404,0.0006,0.0353,10.0694,7.7836,1.6997,0.383,
Twitter,114,29918,"VITTER, David",Republican,Senate,LA,S,2503,2384,-0.1456,0.4272,0.127,0.3004,0.1354,0.0923,0.0112,0.137,0.0148,0.1111,4.4167,5.63,2.7367,0.165,
Twitter,114,29919,"Capuano, Michael",Democrat,House,MA,7,21,21,-0.3806,0.6903,0.0476,0.0952,0.0,0.1429,0.0,0.0,0.0,0.0,188.2381,34.5238,4.5238,1.2857,
Twitter,114,29924,"UDALL, Thomas (Tom)",Democrat,Senate,NM,S,1285,1276,-0.5559,0.7779,0.1751,0.5463,0.172,0.0444,0.0265,0.1237,0.0257,0.1385,12.477,8.1401,1.3704,0.4584,
